City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3346622","2005","NO2","WHO_2005_HRAPIE_Scen_Base","643","25.8","28.4","1397","805","1985","15755","9090","22381"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3346622","2005","O3","WHO_2005_HRAPIE_Scen_Base","642","3853.3","3767.4","94","46","143","1134","548","1679"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3346622","2005","PM10","WHO_2005_HRAPIE_Scen_Base","643","27.0","27.4","","","","","",""
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3346622","2005","PM2.5","WHO_2005_HRAPIE_Scen_Base","643","18.8","19.1","3472","2308","4518","39167","26045","50976"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3346622","2005","NO2","WHO_2021_AQG_Scen_Base","643","25.8","28.4","1143","578","2221","12885","6535","25053"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3346622","2005","O3","WHO_2021_AQG_Scen_Base","643","3853.3","3767.4","143","113","174","1678","1328","2027"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3346622","2005","PM10","WHO_2021_AQG_Scen_Base","643","27.0","27.4","","","","","",""
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3346622","2005","PM2.5","WHO_2021_AQG_Scen_Base","643","18.8","19.1","3288","2522","3656","37096","28453","41272"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3346622","2005","NO2","WHO_2021_AQG_Scen_Sensitivity_2","643","25.8","28.4","1747","891","3366","19714","10047","37981"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3346622","2005","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","643","18.8","19.1","4370","3368","4853","49329","38007","54766"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3344071","2006","O3","WHO_2005_HRAPIE_Scen_Base","643","5505.6","5494.8","140","66","207","1670","807","2470"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3344071","2006","PM10","WHO_2005_HRAPIE_Scen_Base","642","28.6","29.0","","","","","",""
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3344071","2006","O3","WHO_2021_AQG_Scen_Base","643","5505.6","5494.8","207","163","248","2469","1957","2985"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3344071","2006","PM10","WHO_2021_AQG_Scen_Base","642","28.6","29.0","","","","","",""
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3339080","2007","O3","WHO_2005_HRAPIE_Scen_Base","642","3943.5","3937.1","98","48","149","1210","586","1793"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3339080","2007","PM10","WHO_2005_HRAPIE_Scen_Base","643","22.0","22.2","","","","","",""
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3339080","2007","PM2.5","WHO_2005_HRAPIE_Scen_Base","643","14.3","14.4","2653","1756","3467","30759","20357","40211"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3339080","2007","O3","WHO_2021_AQG_Scen_Base","643","3943.5","3937.1","149","118","179","1793","1419","2168"
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3339080","2007","PM10","WHO_2021_AQG_Scen_Base","643","22.0","22.2","","","","","",""
"Urban Centres (grid)","Germany","Berlin","GEOSTAT11_186","3339080","2007","PM2.5","WHO_2021_AQG_Scen_Base","642","14.3","14.4","2231","1703","2487","25882","19767","28858"
