City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709825","2005","NO2","WHO_2005_HRAPIE_Scen_Base","303","23.1","25.4","428","246","609","5471","3143","7803"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709825","2005","O3","WHO_2005_HRAPIE_Scen_Base","303","4638.5","4565.6","56","27","81","755","365","1118"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709825","2005","PM10","WHO_2005_HRAPIE_Scen_Base","302","31.5","32.8","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709825","2005","PM2.5","WHO_2005_HRAPIE_Scen_Base","303","22.2","22.9","1945","1299","2521","24873","16604","32258"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709825","2005","NO2","WHO_2021_AQG_Scen_Base","303","23.1","25.4","451","229","881","5778","2925","11269"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709825","2005","O3","WHO_2021_AQG_Scen_Base","303","4638.5","4565.6","81","66","99","1118","885","1352"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709825","2005","PM10","WHO_2021_AQG_Scen_Base","302","31.5","32.8","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709825","2005","PM2.5","WHO_2021_AQG_Scen_Base","303","22.2","22.9","1944","1496","2159","24876","19146","27631"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709825","2005","NO2","WHO_2021_AQG_Scen_Sensitivity_2","303","23.1","25.4","739","376","1428","9453","4810","18267"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709825","2005","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","303","22.2","22.9","2441","1887","2705","31231","24145","34615"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709074","2006","O3","WHO_2005_HRAPIE_Scen_Base","303","4811.2","4684.4","58","27","85","794","384","1175"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709074","2006","PM10","WHO_2005_HRAPIE_Scen_Base","303","37.1","37.4","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709074","2006","O3","WHO_2021_AQG_Scen_Base","302","4811.2","4684.4","85","68","103","1174","930","1419"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1709074","2006","PM10","WHO_2021_AQG_Scen_Base","303","37.1","37.4","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707661","2007","O3","WHO_2005_HRAPIE_Scen_Base","302","3214.2","3116.2","39","18","58","537","260","796"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707661","2007","PM10","WHO_2005_HRAPIE_Scen_Base","303","30.8","31.2","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707661","2007","PM2.5","WHO_2005_HRAPIE_Scen_Base","302","20.7","20.7","1817","1211","2361","23678","15771","30770"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707661","2007","O3","WHO_2021_AQG_Scen_Base","302","3214.2","3116.2","58","46","70","795","629","961"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707661","2007","PM10","WHO_2021_AQG_Scen_Base","302","30.8","31.2","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707661","2007","PM2.5","WHO_2021_AQG_Scen_Base","303","20.7","20.7","1767","1359","1965","23029","17689","25603"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707661","2007","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","302","20.7","20.7","2285","1765","2536","29783","22979","33041"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707219","2008","O3","WHO_2005_HRAPIE_Scen_Base","302","3643.2","3586.5","44","22","67","622","300","921"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707219","2008","PM10","WHO_2005_HRAPIE_Scen_Base","302","30.9","31.3","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707219","2008","PM2.5","WHO_2005_HRAPIE_Scen_Base","303","24.6","24.8","2160","1445","2797","28134","18816","36425"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707219","2008","O3","WHO_2021_AQG_Scen_Base","302","3643.2","3586.5","67","53","80","920","729","1113"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707219","2008","PM10","WHO_2021_AQG_Scen_Base","303","30.9","31.3","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707219","2008","PM2.5","WHO_2021_AQG_Scen_Base","302","24.6","24.8","2202","1697","2445","28682","22112","31833"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1707219","2008","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","302","24.6","24.8","2708","2097","2999","35274","27315","39065"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","NO2","WHO_2005_HRAPIE_Scen_Base","302","23.0","25.5","458","264","654","5894","3387","8403"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","O3","WHO_2005_HRAPIE_Scen_Base","303","3228.7","3181.1","40","20","60","553","266","819"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","PM10","WHO_2005_HRAPIE_Scen_Base","303","33.1","33.9","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","PM2.5","WHO_2005_HRAPIE_Scen_Base","302","22.7","23.2","2067","1381","2681","26569","17740","34446"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","NO2","WHO_2021_AQG_Scen_Base","303","23.0","25.5","477","242","931","6133","3106","11961"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","O3","WHO_2021_AQG_Scen_Base","303","3228.7","3181.1","60","48","73","819","648","989"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1708125","2009","PM10","WHO_2021_AQG_Scen_Base","302","33.1","33.9","","","","","",""
