,total_city_population,year,air_pollution_average_($\mu$g/m$^3$),premature_deaths,years_of_life_lost,NO2_pollution($\mu$g/m$^3$),O3_pollution($\mu$g/m$^3$),PM10_pollution($\mu$g/m$^3$),PM2.5_pollution($\mu$g/m$^3$)
0,3346622.0,2005.0,25.8,1397.0,15755.0,28.4,3525.88,24.44,15.040000000000001
1,3346622.0,2005.0,3853.3,94.0,1134.0,26.0,3767.4,24.44,14.48
2,3346622.0,2005.0,27.0,2389.0,26955.8,26.8,3525.88,27.4,17.54
3,3346622.0,2005.0,18.8,3472.0,39167.0,26.18,4164.860000000001,24.44,19.1
4,3346622.0,2005.0,25.8,1143.0,12885.0,28.4,3525.88,24.44,15.040000000000001
5,3346622.0,2005.0,3853.3,143.0,1678.0,26.0,3767.4,24.44,14.48
7,3346622.0,2005.0,18.8,3288.0,37096.0,26.18,4164.860000000001,24.44,19.1
8,3346622.0,2005.0,25.8,1747.0,19714.0,28.4,4164.86,24.44,15.040000000000001
9,3346622.0,2005.0,18.8,4370.0,49329.0,26.18,4198.800000000001,24.44,19.1
10,3344071.0,2006.0,5505.6,140.0,1670.0,26.179999999999996,5494.8,24.44,15.080000000000002
11,3344071.0,2006.0,28.6,2425.8,27370.0,26.8,3525.88,29.0,17.54
12,3344071.0,2006.0,5505.6,207.0,2469.0,26.18,5494.8,24.44,15.080000000000002
14,3339080.0,2007.0,3943.5,98.0,1210.0,25.560000000000002,3937.1,24.580000000000002,15.079999999999998
15,3339080.0,2007.0,22.0,1697.0,19706.6,26.54,3825.8799999999997,22.2,15.040000000000001
16,3339080.0,2007.0,14.3,2653.0,30759.0,26.660000000000004,4135.799999999999,24.580000000000002,14.4
17,3339080.0,2007.0,3943.5,149.0,1793.0,25.560000000000002,3937.1,24.580000000000002,15.079999999999998
19,3339080.0,2007.0,14.3,2231.0,25882.0,26.660000000000004,4135.799999999999,24.580000000000002,14.4
20,3339080.0,2007.0,14.3,3354.0,38889.0,26.659999999999997,4135.799999999999,24.580000000000002,14.4
21,3335140.0,2008.0,3984.9,100.0,1216.0,25.720000000000006,3945.2,24.080000000000002,15.079999999999998
22,3335140.0,2008.0,22.5,2422.6,27387.2,25.9,3711.4199999999996,22.7,15.76
23,3335140.0,2008.0,15.8,2987.0,34069.0,26.660000000000004,3711.4199999999996,24.080000000000002,16.0
24,3335140.0,2008.0,3984.9,153.0,1799.0,25.720000000000006,3945.2,24.080000000000002,15.079999999999998
26,3335140.0,2008.0,15.8,2640.0,30102.0,26.659999999999997,3711.4199999999996,24.080000000000002,16.0
27,3335140.0,2008.0,15.8,3771.0,43016.0,26.540000000000003,4137.42,24.080000000000002,16.0
28,3326402.0,2009.0,24.0,1188.0,13547.0,26.8,3557.9399999999996,23.44,15.12
29,3326402.0,2009.0,3652.0,93.0,1126.0,26.4,3611.5,23.44,15.12
30,3326402.0,2009.0,24.5,2089.2,23818.0,26.2,3557.9399999999996,24.9,16.9
31,3326402.0,2009.0,17.5,3362.0,38330.0,26.9,3674.0199999999995,23.44,17.9
32,3326402.0,2009.0,24.0,1079.0,12315.0,26.8,3557.9399999999996,23.44,15.12
33,3326402.0,2009.0,3652.0,142.0,1666.0,26.4,3611.5,23.44,15.12
35,3326402.0,2009.0,17.5,3109.0,35436.0,26.9,3674.0199999999995,23.44,17.9
36,3326402.0,2009.0,24.0,1708.0,19462.0,26.8,3557.94,23.44,15.819999999999999
37,3326402.0,2009.0,17.5,4238.0,48322.0,26.9,3674.0199999999995,23.44,17.9
38,3318283.0,2010.0,24.9,1347.0,15418.0,27.8,3652.4,23.440000000000005,15.819999999999999
39,3318283.0,2010.0,3867.4,99.0,1205.0,26.9,3837.1,23.440000000000005,15.819999999999999
40,3318283.0,2010.0,25.6,2545.4,29113.8,27.4,3652.4,25.8,19.1
41,3318283.0,2010.0,19.8,3746.0,42836.0,27.1,3652.4,23.440000000000005,19.9
42,3318283.0,2010.0,24.9,1146.0,13102.0,27.8,3652.4,23.440000000000005,15.819999999999999
43,3318283.0,2010.0,3867.4,151.0,1782.0,26.9,3837.1,23.440000000000005,15.819999999999999
45,3318283.0,2010.0,19.8,3595.0,41117.0,27.1,3652.4,23.440000000000005,19.9
46,3318283.0,2010.0,24.9,1775.0,20298.0,27.8,3652.4,23.440000000000005,16.52
47,3318283.0,2010.0,19.8,4713.0,53915.0,27.1,3652.4,23.440000000000005,19.9
48,3254181.0,2011.0,4074.8,104.0,1249.0,25.72,4042.5,22.02,16.06
49,3254181.0,2011.0,24.2,2400.8,27207.0,25.72,3698.1400000000003,24.4,17.9
50,3254181.0,2011.0,19.4,3653.0,41371.0,25.72,3698.1400000000003,22.02,19.5
51,3254181.0,2011.0,4074.8,158.0,1846.0,25.72,4042.5,22.02,16.06
53,3254181.0,2011.0,19.4,3488.0,39480.0,25.72,3698.1400000000003,22.02,19.5
54,3254181.0,2011.0,19.4,4601.0,52089.0,25.72,3698.1400000000003,22.02,19.5
55,3258477.0,2012.0,3372.4,88.0,1028.0,25.72,3343.6,22.02,16.06
56,3258477.0,2012.0,20.2,1928.2,21337.6,25.72,3698.1400000000003,20.4,17.1
57,3258477.0,2012.0,15.4,3004.0,33213.0,25.72,3698.1400000000003,22.02,15.5
58,3258477.0,2012.0,3372.4,134.0,1521.0,25.72,3343.6,22.02,16.06
60,3258477.0,2012.0,15.4,2620.0,28973.0,25.72,3698.1400000000003,22.02,15.5
61,3258477.0,2012.0,15.4,3795.0,41953.0,25.72,3698.1400000000003,22.02,15.5
